OFFICIAL_GENE_SYMBOL	Name	Species
LOC105371083	uncharacterized LOC105371083(LOC105371083)	Homo sapiens
SCNM1	sodium channel modifier 1(SCNM1)	Homo sapiens
CFAP126	cilia and flagella associated protein 126(CFAP126)	Homo sapiens
CRELD1	cysteine rich with EGF like domains 1(CRELD1)	Homo sapiens
YY2	YY2 transcription factor(YY2)	Homo sapiens
ADGRG3	adhesion G protein-coupled receptor G3(ADGRG3)	Homo sapiens
MRPS17	mitochondrial ribosomal protein S17(MRPS17)	Homo sapiens
ZNF263	zinc finger protein 263(ZNF263)	Homo sapiens
DNAL4	dynein axonemal light chain 4(DNAL4)	Homo sapiens
COLEC11	collectin subfamily member 11(COLEC11)	Homo sapiens
CDC37L1-AS1	CDC37L1 antisense RNA 1 (head to head)(CDC37L1-AS1)	Homo sapiens
CARD14	caspase recruitment domain family member 14(CARD14)	Homo sapiens
PLIN3	perilipin 3(PLIN3)	Homo sapiens
CRYGS	crystallin gamma S(CRYGS)	Homo sapiens
ZNF443	zinc finger protein 443(ZNF443)	Homo sapiens
BIN2	bridging integrator 2(BIN2)	Homo sapiens
LOC105371046	uncharacterized LOC105371046(LOC105371046)	Homo sapiens
DCAF15	DDB1 and CUL4 associated factor 15(DCAF15)	Homo sapiens
HNRNPR	heterogeneous nuclear ribonucleoprotein R(HNRNPR)	Homo sapiens
CSF2	colony stimulating factor 2(CSF2)	Homo sapiens
ARPC4-TTLL3	ARPC4-TTLL3 readthrough(ARPC4-TTLL3)	Homo sapiens
TOPORS	TOP1 binding arginine/serine rich protein(TOPORS)	Homo sapiens
CDH24	cadherin 24(CDH24)	Homo sapiens
PI4KA	phosphatidylinositol 4-kinase alpha(PI4KA)	Homo sapiens
HIST2H3D	histone cluster 2 H3 family member d(HIST2H3D)	Homo sapiens
FASTKD3	FAST kinase domains 3(FASTKD3)	Homo sapiens
LOC101929448	uncharacterized LOC101929448(LOC101929448)	Homo sapiens
METTL2B	methyltransferase like 2B(METTL2B)	Homo sapiens
C17orf67	chromosome 17 open reading frame 67(C17orf67)	Homo sapiens
LINC00431	long intergenic non-protein coding RNA 431(LINC00431)	Homo sapiens
CRYBB3	crystallin beta B3(CRYBB3)	Homo sapiens
NUPR2	nuclear protein 2, transcriptional regulator(NUPR2)	Homo sapiens
GPA33	glycoprotein A33(GPA33)	Homo sapiens
SPATA31C2	SPATA31 subfamily C member 2(SPATA31C2)	Homo sapiens
NOL7	nucleolar protein 7(NOL7)	Homo sapiens
PITX2	paired like homeodomain 2(PITX2)	Homo sapiens
AP5M1	adaptor related protein complex 5 mu 1 subunit(AP5M1)	Homo sapiens
PRMT3	protein arginine methyltransferase 3(PRMT3)	Homo sapiens
MPHOSPH10	M-phase phosphoprotein 10(MPHOSPH10)	Homo sapiens
CSRP1	cysteine and glycine rich protein 1(CSRP1)	Homo sapiens
PTPRD-AS2	PTPRD antisense RNA 2 (head to head)(PTPRD-AS2)	Homo sapiens
POLR1E	RNA polymerase I subunit E(POLR1E)	Homo sapiens
GNG8	G protein subunit gamma 8(GNG8)	Homo sapiens
NARFL	nuclear prelamin A recognition factor like(NARFL)	Homo sapiens
SCARA3	scavenger receptor class A member 3(SCARA3)	Homo sapiens
EXOC2	exocyst complex component 2(EXOC2)	Homo sapiens
SERPINB9	serpin family B member 9(SERPINB9)	Homo sapiens
ZNF83	zinc finger protein 83(ZNF83)	Homo sapiens
FAM8A1	family with sequence similarity 8 member A1(FAM8A1)	Homo sapiens
CCDC96	coiled-coil domain containing 96(CCDC96)	Homo sapiens
KRT40	keratin 40(KRT40)	Homo sapiens
CSNK1G2	casein kinase 1 gamma 2(CSNK1G2)	Homo sapiens
UBAP2	ubiquitin associated protein 2(UBAP2)	Homo sapiens
DPF2	double PHD fingers 2(DPF2)	Homo sapiens
AKR1C2	aldo-keto reductase family 1 member C2(AKR1C2)	Homo sapiens
LOC105374988	uncharacterized LOC105374988(LOC105374988)	Homo sapiens
RFC1	replication factor C subunit 1(RFC1)	Homo sapiens
DLGAP1	DLG associated protein 1(DLGAP1)	Homo sapiens
RELA	RELA proto-oncogene, NF-kB subunit(RELA)	Homo sapiens
VAPA	VAMP associated protein A(VAPA)	Homo sapiens
LOC103021295	uncharacterized LOC103021295(LOC103021295)	Homo sapiens
RELB	RELB proto-oncogene, NF-kB subunit(RELB)	Homo sapiens
TMEM261	transmembrane protein 261(TMEM261)	Homo sapiens
ZBTB49	zinc finger and BTB domain containing 49(ZBTB49)	Homo sapiens
DHX8	DEAH-box helicase 8(DHX8)	Homo sapiens
DDX6	DEAD-box helicase 6(DDX6)	Homo sapiens
OPN1LW	opsin 1 (cone pigments), long-wave-sensitive(OPN1LW)	Homo sapiens
SEPSECS-AS1	SEPSECS antisense RNA 1 (head to head)(SEPSECS-AS1)	Homo sapiens
SNORA80B	small nucleolar RNA, H/ACA box 80B(SNORA80B)	Homo sapiens
TMEM204	transmembrane protein 204(TMEM204)	Homo sapiens
RGS12	regulator of G-protein signaling 12(RGS12)	Homo sapiens
DAG1	dystroglycan 1(DAG1)	Homo sapiens
FAM200B	family with sequence similarity 200 member B(FAM200B)	Homo sapiens
VTCN1	V-set domain containing T cell activation inhibitor 1(VTCN1)	Homo sapiens
UHRF1	ubiquitin like with PHD and ring finger domains 1(UHRF1)	Homo sapiens
RFX5	regulatory factor X5(RFX5)	Homo sapiens
LOC101929524	uncharacterized LOC101929524(LOC101929524)	Homo sapiens
PLGRKT	plasminogen receptor with a C-terminal lysine(PLGRKT)	Homo sapiens
FERD3L	Fer3 like bHLH transcription factor(FERD3L)	Homo sapiens
CD274	CD274 molecule(CD274)	Homo sapiens
RFX3	regulatory factor X3(RFX3)	Homo sapiens
MYLIP	myosin regulatory light chain interacting protein(MYLIP)	Homo sapiens
RARA	retinoic acid receptor alpha(RARA)	Homo sapiens
ZMAT2	zinc finger matrin-type 2(ZMAT2)	Homo sapiens
UNC45A	unc-45 myosin chaperone A(UNC45A)	Homo sapiens
RAP1GAP	RAP1 GTPase activating protein(RAP1GAP)	Homo sapiens
ZKSCAN7	zinc finger with KRAB and SCAN domains 7(ZKSCAN7)	Homo sapiens
FOCAD-AS1	FOCAD antisense RNA 1(FOCAD-AS1)	Homo sapiens
DROSHA	drosha ribonuclease III(DROSHA)	Homo sapiens
RANBP1	RAN binding protein 1(RANBP1)	Homo sapiens
NOL9	nucleolar protein 9(NOL9)	Homo sapiens
CD83	CD83 molecule(CD83)	Homo sapiens
LGALSL	galectin like(LGALSL)	Homo sapiens
GGT8P	gamma-glutamyltransferase 8 pseudogene(GGT8P)	Homo sapiens
HDX	highly divergent homeobox(HDX)	Homo sapiens
ATP6V1F	ATPase H+ transporting V1 subunit F(ATP6V1F)	Homo sapiens
CYP2A6	cytochrome P450 family 2 subfamily A member 6(CYP2A6)	Homo sapiens
SUV39H2	suppressor of variegation 3-9 homolog 2(SUV39H2)	Homo sapiens
LOC143666	uncharacterized LOC143666(LOC143666)	Homo sapiens
TRIP11	thyroid hormone receptor interactor 11(TRIP11)	Homo sapiens
SLC29A4	solute carrier family 29 member 4(SLC29A4)	Homo sapiens
TRIP10	thyroid hormone receptor interactor 10(TRIP10)	Homo sapiens
LOC285484	uncharacterized LOC285484(LOC285484)	Homo sapiens
FAM212B	family with sequence similarity 212 member B(FAM212B)	Homo sapiens
C14orf180	chromosome 14 open reading frame 180(C14orf180)	Homo sapiens
IGFLR1	IGF like family receptor 1(IGFLR1)	Homo sapiens
CYP1A1	cytochrome P450 family 1 subfamily A member 1(CYP1A1)	Homo sapiens
TRIP13	thyroid hormone receptor interactor 13(TRIP13)	Homo sapiens
NKRF	NFKB repressing factor(NKRF)	Homo sapiens
C11orf94	chromosome 11 open reading frame 94(C11orf94)	Homo sapiens
SNAP29	synaptosome associated protein 29(SNAP29)	Homo sapiens
ZCCHC4	zinc finger CCHC-type containing 4(ZCCHC4)	Homo sapiens
CNPY3-GNMT	CNPY3-GNMT readthrough(CNPY3-GNMT)	Homo sapiens
RARRES3	retinoic acid receptor responder 3(RARRES3)	Homo sapiens
CBX3P2	chromobox 3 pseudogene 2(CBX3P2)	Homo sapiens
SNORA59A	small nucleolar RNA, H/ACA box 59A(SNORA59A)	Homo sapiens
LINC00612	long intergenic non-protein coding RNA 612(LINC00612)	Homo sapiens
CLIP4	CAP-Gly domain containing linker protein family member 4(CLIP4)	Homo sapiens
SLC9A3R2	SLC9A3 regulator 2(SLC9A3R2)	Homo sapiens
SNORA59B	small nucleolar RNA, H/ACA box 59B(SNORA59B)	Homo sapiens
KLHL9	kelch like family member 9(KLHL9)	Homo sapiens
C5orf51	chromosome 5 open reading frame 51(C5orf51)	Homo sapiens
CATSPER1	cation channel sperm associated 1(CATSPER1)	Homo sapiens
APOM	apolipoprotein M(APOM)	Homo sapiens
ELMO3	engulfment and cell motility 3(ELMO3)	Homo sapiens
LONP1	lon peptidase 1, mitochondrial(LONP1)	Homo sapiens
STX18-AS1	STX18 antisense RNA 1 (head to head)(STX18-AS1)	Homo sapiens
RNY3	RNA, Ro-associated Y3(RNY3)	Homo sapiens
DNMT1	DNA methyltransferase 1(DNMT1)	Homo sapiens
GRTP1	growth hormone regulated TBC protein 1(GRTP1)	Homo sapiens
DNM2	dynamin 2(DNM2)	Homo sapiens
NRXN3	neurexin 3(NRXN3)	Homo sapiens
SEH1L	SEH1 like nucleoporin(SEH1L)	Homo sapiens
ROM1	retinal outer segment membrane protein 1(ROM1)	Homo sapiens
PPT2	palmitoyl-protein thioesterase 2(PPT2)	Homo sapiens
CABLES2	Cdk5 and Abl enzyme substrate 2(CABLES2)	Homo sapiens
GRHPR	glyoxylate and hydroxypyruvate reductase(GRHPR)	Homo sapiens
CEP112	centrosomal protein 112(CEP112)	Homo sapiens
RPL13	ribosomal protein L13(RPL13)	Homo sapiens
DLG1	discs large MAGUK scaffold protein 1(DLG1)	Homo sapiens
DCST1	DC-STAMP domain containing 1(DCST1)	Homo sapiens
B4GALT1-AS1	B4GALT1 antisense RNA 1(B4GALT1-AS1)	Homo sapiens
KLHL36	kelch like family member 36(KLHL36)	Homo sapiens
NXF5	nuclear RNA export factor 5(NXF5)	Homo sapiens
PPIAL4D	peptidylprolyl isomerase A like 4D(PPIAL4D)	Homo sapiens
GDNF-AS1	GDNF antisense RNA 1 (head to head)(GDNF-AS1)	Homo sapiens
GSDMD	gasdermin D(GSDMD)	Homo sapiens
TARID	TCF21 antisense RNA inducing promoter demethylation(TARID)	Homo sapiens
GRAP2	GRB2-related adaptor protein 2(GRAP2)	Homo sapiens
TMEM18	transmembrane protein 18(TMEM18)	Homo sapiens
PPP1R3E	protein phosphatase 1 regulatory subunit 3E(PPP1R3E)	Homo sapiens
LOC641367	cyclin Y like 1 pseudogene(LOC641367)	Homo sapiens
SNRNP40	small nuclear ribonucleoprotein U5 subunit 40(SNRNP40)	Homo sapiens
ACAD9	acyl-CoA dehydrogenase family member 9(ACAD9)	Homo sapiens
SNORA38	small nucleolar RNA, H/ACA box 38(SNORA38)	Homo sapiens
MOB3B	MOB kinase activator 3B(MOB3B)	Homo sapiens
RNF4	ring finger protein 4(RNF4)	Homo sapiens
SNORA26	small nucleolar RNA, H/ACA box 26(SNORA26)	Homo sapiens
COMMD5	COMM domain containing 5(COMMD5)	Homo sapiens
CATSPERB	cation channel sperm associated auxiliary subunit beta(CATSPERB)	Homo sapiens
NOB1	NIN1/PSMD8 binding protein 1 homolog(NOB1)	Homo sapiens
LOC100289580	uncharacterized LOC100289580(LOC100289580)	Homo sapiens
SNORA30	small nucleolar RNA, H/ACA box 30(SNORA30)	Homo sapiens
MYDGF	myeloid derived growth factor(MYDGF)	Homo sapiens
MRPS18B	mitochondrial ribosomal protein S18B(MRPS18B)	Homo sapiens
EFCAB9	EF-hand calcium binding domain 9(EFCAB9)	Homo sapiens
NHEJ1	non-homologous end joining factor 1(NHEJ1)	Homo sapiens
DHX15	DEAH-box helicase 15(DHX15)	Homo sapiens
RNU2-1	RNA, U2 small nuclear 1(RNU2-1)	Homo sapiens
HOMER3	homer scaffolding protein 3(HOMER3)	Homo sapiens
SCARNA11	small Cajal body-specific RNA 11(SCARNA11)	Homo sapiens
KIAA0825	KIAA0825(KIAA0825)	Homo sapiens
EPHX3	epoxide hydrolase 3(EPHX3)	Homo sapiens
RASAL2	RAS protein activator like 2(RASAL2)	Homo sapiens
GIMAP1	GTPase, IMAP family member 1(GIMAP1)	Homo sapiens
RNH1	ribonuclease/angiogenin inhibitor 1(RNH1)	Homo sapiens
RNPEP	arginyl aminopeptidase(RNPEP)	Homo sapiens
EIF4E2	eukaryotic translation initiation factor 4E family member 2(EIF4E2)	Homo sapiens
LOC100507406	uncharacterized LOC100507406(LOC100507406)	Homo sapiens
SLC4A8	solute carrier family 4 member 8(SLC4A8)	Homo sapiens
ZNF341-AS1	ZNF341 antisense RNA 1(ZNF341-AS1)	Homo sapiens
EDN1	endothelin 1(EDN1)	Homo sapiens
C1orf210	chromosome 1 open reading frame 210(C1orf210)	Homo sapiens
CYB5RL	cytochrome b5 reductase like(CYB5RL)	Homo sapiens
MAP3K14-AS1	MAP3K14 antisense RNA 1(MAP3K14-AS1)	Homo sapiens
HIGD1B	HIG1 hypoxia inducible domain family member 1B(HIGD1B)	Homo sapiens
PSMD13	proteasome 26S subunit, non-ATPase 13(PSMD13)	Homo sapiens
BAG5	BCL2 associated athanogene 5(BAG5)	Homo sapiens
NBPF25P	neuroblastoma breakpoint family member 25, pseudogene(NBPF25P)	Homo sapiens
GHRL	ghrelin and obestatin prepropeptide(GHRL)	Homo sapiens
ARID4B	AT-rich interaction domain 4B(ARID4B)	Homo sapiens
SNORD68	small nucleolar RNA, C/D box 68(SNORD68)	Homo sapiens
KREMEN2	kringle containing transmembrane protein 2(KREMEN2)	Homo sapiens
E2F4	E2F transcription factor 4(E2F4)	Homo sapiens
TIGD1	tigger transposable element derived 1(TIGD1)	Homo sapiens
GLB1L	galactosidase beta 1 like(GLB1L)	Homo sapiens
RAPGEF6	Rap guanine nucleotide exchange factor 6(RAPGEF6)	Homo sapiens
PTGER2	prostaglandin E receptor 2(PTGER2)	Homo sapiens
LOC730098	uncharacterized LOC730098(LOC730098)	Homo sapiens
SRR	serine racemase(SRR)	Homo sapiens
DVL2	dishevelled segment polarity protein 2(DVL2)	Homo sapiens
LINC01058	long intergenic non-protein coding RNA 1058(LINC01058)	Homo sapiens
CCDC149	coiled-coil domain containing 149(CCDC149)	Homo sapiens
PRSS3	protease, serine 3(PRSS3)	Homo sapiens
PCDHA10	protocadherin alpha 10(PCDHA10)	Homo sapiens
CCL4L2	C-C motif chemokine ligand 4 like 2(CCL4L2)	Homo sapiens
PCDHA12	protocadherin alpha 12(PCDHA12)	Homo sapiens
H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase(H6PD)	Homo sapiens
HAUS3	HAUS augmin like complex subunit 3(HAUS3)	Homo sapiens
PAGR1	PAXIP1 associated glutamate rich protein 1(PAGR1)	Homo sapiens
PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1(PRPSAP1)	Homo sapiens
C8orf49	chromosome 8 open reading frame 49(C8orf49)	Homo sapiens
TEX13B	testis expressed 13B(TEX13B)	Homo sapiens
LOC200772	uncharacterized LOC200772(LOC200772)	Homo sapiens
HBEGF	heparin binding EGF like growth factor(HBEGF)	Homo sapiens
APBA3	amyloid beta precursor protein binding family A member 3(APBA3)	Homo sapiens
NRG2	neuregulin 2(NRG2)	Homo sapiens
PCDHA2	protocadherin alpha 2(PCDHA2)	Homo sapiens
PCDHA3	protocadherin alpha 3(PCDHA3)	Homo sapiens
LOC101059948	uncharacterized LOC101059948(LOC101059948)	Homo sapiens
ANKH	ANKH inorganic pyrophosphate transport regulator(ANKH)	Homo sapiens
ATN1	atrophin 1(ATN1)	Homo sapiens
SNAP47	synaptosome associated protein 47(SNAP47)	Homo sapiens
ARID3A	AT-rich interaction domain 3A(ARID3A)	Homo sapiens
DRG2	developmentally regulated GTP binding protein 2(DRG2)	Homo sapiens
BNIPL	BCL2 interacting protein like(BNIPL)	Homo sapiens
LRG1	leucine rich alpha-2-glycoprotein 1(LRG1)	Homo sapiens
PPP1R18	protein phosphatase 1 regulatory subunit 18(PPP1R18)	Homo sapiens
MIR940	microRNA 940(MIR940)	Homo sapiens
ZNF732	zinc finger protein 732(ZNF732)	Homo sapiens
DPP9	dipeptidyl peptidase 9(DPP9)	Homo sapiens
LOC100507506	uncharacterized LOC100507506(LOC100507506)	Homo sapiens
PSMA1	proteasome subunit alpha 1(PSMA1)	Homo sapiens
MIR877	microRNA 877(MIR877)	Homo sapiens
ABCG1	ATP binding cassette subfamily G member 1(ABCG1)	Homo sapiens
CSAG3	CSAG family member 3(CSAG3)	Homo sapiens
EPB41L1	erythrocyte membrane protein band 4.1 like 1(EPB41L1)	Homo sapiens
MIR190B	microRNA 190b(MIR190B)	Homo sapiens
VPS9D1	VPS9 domain containing 1(VPS9D1)	Homo sapiens
ENO1	enolase 1(ENO1)	Homo sapiens
LOC100507547	uncharacterized LOC100507547(LOC100507547)	Homo sapiens
QDPR	quinoid dihydropteridine reductase(QDPR)	Homo sapiens
ELK3	ELK3, ETS transcription factor(ELK3)	Homo sapiens
MIR4793	microRNA 4793(MIR4793)	Homo sapiens
LPIN2	lipin 2(LPIN2)	Homo sapiens
PNCK	pregnancy up-regulated nonubiquitous CaM kinase(PNCK)	Homo sapiens
DMRTA1	DMRT like family A1(DMRTA1)	Homo sapiens
SUSD2	sushi domain containing 2(SUSD2)	Homo sapiens
LINC01091	long intergenic non-protein coding RNA 1091(LINC01091)	Homo sapiens
EIF5A	eukaryotic translation initiation factor 5A(EIF5A)	Homo sapiens
BTNL2	butyrophilin like 2(BTNL2)	Homo sapiens
LOC100130705	uncharacterized LOC100130705(LOC100130705)	Homo sapiens
BHLHE40-AS1	BHLHE40 antisense RNA 1(BHLHE40-AS1)	Homo sapiens
SERPINB1	serpin family B member 1(SERPINB1)	Homo sapiens
CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component(CTR9)	Homo sapiens
MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2(MICAL2)	Homo sapiens
EPHA2	EPH receptor A2(EPHA2)	Homo sapiens
MIR4726	microRNA 4726(MIR4726)	Homo sapiens
HDDC3	HD domain containing 3(HDDC3)	Homo sapiens
BLOC1S5	biogenesis of lysosomal organelles complex 1 subunit 5(BLOC1S5)	Homo sapiens
SLC52A2	solute carrier family 52 member 2(SLC52A2)	Homo sapiens
PTPN2	protein tyrosine phosphatase, non-receptor type 2(PTPN2)	Homo sapiens
HTR3D	5-hydroxytryptamine receptor 3D(HTR3D)	Homo sapiens
SAFB2	scaffold attachment factor B2(SAFB2)	Homo sapiens
PTPRD	protein tyrosine phosphatase, receptor type D(PTPRD)	Homo sapiens
DGKH	diacylglycerol kinase eta(DGKH)	Homo sapiens
EGR4	early growth response 4(EGR4)	Homo sapiens
PTPRB	protein tyrosine phosphatase, receptor type B(PTPRB)	Homo sapiens
MIR4526	microRNA 4526(MIR4526)	Homo sapiens
EFNA2	ephrin A2(EFNA2)	Homo sapiens
FAM180B	family with sequence similarity 180 member B(FAM180B)	Homo sapiens
EEF2	eukaryotic translation elongation factor 2(EEF2)	Homo sapiens
EEF1G	eukaryotic translation elongation factor 1 gamma(EEF1G)	Homo sapiens
UTP14C	UTP14, small subunit processome component homolog C (S. cerevisiae)(UTP14C)	Homo sapiens
PURB	purine rich element binding protein B(PURB)	Homo sapiens
PIEZO2	piezo type mechanosensitive ion channel component 2(PIEZO2)	Homo sapiens
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3(ACAP3)	Homo sapiens
LOC100507642	uncharacterized LOC100507642(LOC100507642)	Homo sapiens
PCDHGA8	protocadherin gamma subfamily A, 8(PCDHGA8)	Homo sapiens
LOC105374952	uncharacterized LOC105374952(LOC105374952)	Homo sapiens
PVR	poliovirus receptor(PVR)	Homo sapiens
ADAMTSL4	ADAMTS like 4(ADAMTSL4)	Homo sapiens
PDCD1LG2	programmed cell death 1 ligand 2(PDCD1LG2)	Homo sapiens
PPIAL4F	peptidylprolyl isomerase A like 4F(PPIAL4F)	Homo sapiens
MIR4449	microRNA 4449(MIR4449)	Homo sapiens
MIR1343	microRNA 1343(MIR1343)	Homo sapiens
LILRB4	leukocyte immunoglobulin like receptor B4(LILRB4)	Homo sapiens
SMOX	spermine oxidase(SMOX)	Homo sapiens
SLC13A1	solute carrier family 13 member 1(SLC13A1)	Homo sapiens
RBM47	RNA binding motif protein 47(RBM47)	Homo sapiens
SAXO1	stabilizer of axonemal microtubules 1(SAXO1)	Homo sapiens
POLN	DNA polymerase nu(POLN)	Homo sapiens
SNAI2	snail family transcriptional repressor 2(SNAI2)	Homo sapiens
ANO7	anoctamin 7(ANO7)	Homo sapiens
RPP25L	ribonuclease P/MRP subunit p25 like(RPP25L)	Homo sapiens
TEX38	testis expressed 38(TEX38)	Homo sapiens
SLCO2A1	solute carrier organic anion transporter family member 2A1(SLCO2A1)	Homo sapiens
TTLL6	tubulin tyrosine ligase like 6(TTLL6)	Homo sapiens
FREM1	FRAS1 related extracellular matrix 1(FREM1)	Homo sapiens
LOC105376731	taste receptor cell protein 1-like(LOC105376731)	Homo sapiens
MIR4520-1	microRNA 4520-1(MIR4520-1)	Homo sapiens
UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI(UQCR11)	Homo sapiens
TMED10	transmembrane p24 trafficking protein 10(TMED10)	Homo sapiens
KCNIP4	potassium voltage-gated channel interacting protein 4(KCNIP4)	Homo sapiens
SERINC3	serine incorporator 3(SERINC3)	Homo sapiens
SSX4B	SSX family member 4B(SSX4B)	Homo sapiens
MEF2B	myocyte enhancer factor 2B(MEF2B)	Homo sapiens
LOC101928433	uncharacterized LOC101928433(LOC101928433)	Homo sapiens
SLC8A3	solute carrier family 8 member A3(SLC8A3)	Homo sapiens
ZNF519	zinc finger protein 519(ZNF519)	Homo sapiens
FCER2	Fc fragment of IgE receptor II(FCER2)	Homo sapiens
LOC101593348	uncharacterized LOC101593348(LOC101593348)	Homo sapiens
EPC1	enhancer of polycomb homolog 1(EPC1)	Homo sapiens
FH	fumarate hydratase(FH)	Homo sapiens
ZNF628	zinc finger protein 628(ZNF628)	Homo sapiens
CCL4L1	C-C motif chemokine ligand 4 like 1(CCL4L1)	Homo sapiens
FAM201A	family with sequence similarity 201 member A(FAM201A)	Homo sapiens
AFG3L2	AFG3 like matrix AAA peptidase subunit 2(AFG3L2)	Homo sapiens
GFOD1	glucose-fructose oxidoreductase domain containing 1(GFOD1)	Homo sapiens
FGFR3	fibroblast growth factor receptor 3(FGFR3)	Homo sapiens
SH3TC1	SH3 domain and tetratricopeptide repeats 1(SH3TC1)	Homo sapiens
FSCN1	fascin actin-bundling protein 1(FSCN1)	Homo sapiens
RALBP1	ralA binding protein 1(RALBP1)	Homo sapiens
HCG4	HLA complex group 4 (non-protein coding)(HCG4)	Homo sapiens
FLAD1	flavin adenine dinucleotide synthetase 1(FLAD1)	Homo sapiens
FAM134B	family with sequence similarity 134 member B(FAM134B)	Homo sapiens
SORD	sorbitol dehydrogenase(SORD)	Homo sapiens
SMPDL3A	sphingomyelin phosphodiesterase acid like 3A(SMPDL3A)	Homo sapiens
SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2(SOS2)	Homo sapiens
FGF10	fibroblast growth factor 10(FGF10)	Homo sapiens
MIR4730	microRNA 4730(MIR4730)	Homo sapiens
LEMD1	LEM domain containing 1(LEMD1)	Homo sapiens
SOD3	superoxide dismutase 3, extracellular(SOD3)	Homo sapiens
RNPS1	RNA binding protein with serine rich domain 1(RNPS1)	Homo sapiens
PRR13	proline rich 13(PRR13)	Homo sapiens
SUB1	SUB1 homolog, transcriptional regulator(SUB1)	Homo sapiens
ENDOV	endonuclease V(ENDOV)	Homo sapiens
SIGLEC12	sialic acid binding Ig like lectin 12 (gene/pseudogene)(SIGLEC12)	Homo sapiens
TTC39B	tetratricopeptide repeat domain 39B(TTC39B)	Homo sapiens
TSACC	TSSK6 activating cochaperone(TSACC)	Homo sapiens
FER	FER tyrosine kinase(FER)	Homo sapiens
TMIGD1	transmembrane and immunoglobulin domain containing 1(TMIGD1)	Homo sapiens
RNU6ATAC	RNA, U6atac small nuclear (U12-dependent splicing)(RNU6ATAC)	Homo sapiens
MIR4758	microRNA 4758(MIR4758)	Homo sapiens
MIR378J	microRNA 378j(MIR378J)	Homo sapiens
TRAFD1	TRAF-type zinc finger domain containing 1(TRAFD1)	Homo sapiens
ATP6V0A4	ATPase H+ transporting V0 subunit a4(ATP6V0A4)	Homo sapiens
GRPEL1	GrpE like 1, mitochondrial(GRPEL1)	Homo sapiens
KLHL12	kelch like family member 12(KLHL12)	Homo sapiens
FOXF2	forkhead box F2(FOXF2)	Homo sapiens
KLF17	Kruppel like factor 17(KLF17)	Homo sapiens
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4(SMARCA4)	Homo sapiens
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2(SMARCA2)	Homo sapiens
FKBP5	FK506 binding protein 5(FKBP5)	Homo sapiens
MIR4426	microRNA 4426(MIR4426)	Homo sapiens
ZNF720	zinc finger protein 720(ZNF720)	Homo sapiens
YWHAEP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7(YWHAEP7)	Homo sapiens
SNAPC3	small nuclear RNA activating complex polypeptide 3(SNAPC3)	Homo sapiens
PPARGC1A	PPARG coactivator 1 alpha(PPARGC1A)	Homo sapiens
FAM72D	family with sequence similarity 72 member D(FAM72D)	Homo sapiens
FAM214B	family with sequence similarity 214 member B(FAM214B)	Homo sapiens
ANKS3	ankyrin repeat and sterile alpha motif domain containing 3(ANKS3)	Homo sapiens
PRDM12	PR/SET domain 12(PRDM12)	Homo sapiens
MRPS30	mitochondrial ribosomal protein S30(MRPS30)	Homo sapiens
MIR4716	microRNA 4716(MIR4716)	Homo sapiens
PPP2R3B	protein phosphatase 2 regulatory subunit B''beta(PPP2R3B)	Homo sapiens
CHST11	carbohydrate sulfotransferase 11(CHST11)	Homo sapiens
DEC1	deleted in esophageal cancer 1(DEC1)	Homo sapiens
LINC00710	long intergenic non-protein coding RNA 710(LINC00710)	Homo sapiens
HCP5	HLA complex P5 (non-protein coding)(HCP5)	Homo sapiens
SNAR-A1	small ILF3/NF90-associated RNA A1(SNAR-A1)	Homo sapiens
SNAR-A2	small ILF3/NF90-associated RNA A2(SNAR-A2)	Homo sapiens
TMEM249	transmembrane protein 249(TMEM249)	Homo sapiens
MIR4499	microRNA 4499(MIR4499)	Homo sapiens
SGK1	serum/glucocorticoid regulated kinase 1(SGK1)	Homo sapiens
MIR7160	microRNA 7160(MIR7160)	Homo sapiens
SGTA	small glutamine rich tetratricopeptide repeat containing alpha(SGTA)	Homo sapiens
EPHB4	EPH receptor B4(EPHB4)	Homo sapiens
CCL27	C-C motif chemokine ligand 27(CCL27)	Homo sapiens
SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2(SH3GL1)	Homo sapiens
MVB12A	multivesicular body subunit 12A(MVB12A)	Homo sapiens
RUVBL2	RuvB like AAA ATPase 2(RUVBL2)	Homo sapiens
MIR4665	microRNA 4665(MIR4665)	Homo sapiens
LINC01227	long intergenic non-protein coding RNA 1227(LINC01227)	Homo sapiens
MIR6511A4	microRNA 6511a-4(MIR6511A4)	Homo sapiens
MIR6511A3	microRNA 6511a-3(MIR6511A3)	Homo sapiens
SHB	SH2 domain containing adaptor protein B(SHB)	Homo sapiens
LOC340357	uncharacterized LOC340357(LOC340357)	Homo sapiens
